from,to,length_km,estimated_flow
33,4,166.80565503892305,23.5
34,4,196.3926213955806,16.0
35,4,235.82654292892389,12.0
36,4,262.69010321880626,6.0
37,4,299.1580707379835,14.0
45,4,194.64629482124755,4.0
46,4,233.45508175068704,30.28
47,4,266.55379851197773,13.44
48,4,305.0574839163717,2.0
49,4,275.6207463059295,5.54
50,4,269.65690786643063,8.0
52,4,342.30100982282164,9.1
96,4,129.1269761563105,42.42
97,4,212.24078821203253,20.0
98,4,178.30586972012355,16.0
100,4,286.0354412768978,4.0
103,4,188.6905691265156,6.0
108,4,184.40503316851357,151.35999999999996
1,5,66.01213587877564,7116.420000000001
2,5,71.8845807760507,220.82
3,5,81.49669583534299,363.46
4,5,65.03091799549989,3858.7799999999997
5,5,0.0,176490.07999999996
6,5,38.108051143596796,5408.740000000001
7,5,113.6209367763559,8.0
8,5,107.72705764569085,4.0
9,5,66.71346909745505,72.36
10,5,87.00811968778275,162.14000000000004
12,5,112.90465213066462,21.84
13,5,139.123261755211,9.08
15,5,98.11004913266912,126.59999999999997
16,5,161.81362553319818,43.66
17,5,190.0929198379544,26.560000000000002
18,5,71.81665105035486,99.70000000000002
19,5,147.43673491053516,65.22
20,5,204.88731336751027,42.0
22,5,268.3955954561353,12.0
23,5,231.94489744264595,43.32
27,5,342.6255604130419,6.0
28,5,289.63654861388846,4.0
29,5,295.4252207148215,2.0
33,5,113.24382547330742,35.620000000000005
34,5,148.98400229924354,8.0
35,5,189.61858149348504,8.0
36,5,217.62107927800918,6.1
37,5,255.49820348920056,129.67999999999998
38,5,289.72863933544494,30.9
39,5,307.4506924873611,11.14
40,5,320.2917840093635,8.0
45,5,160.5291012570816,2.0
46,5,203.6137748141272,30.14
47,5,234.7978316300706,45.28
48,5,274.0043579800115,2.0
50,5,250.31048767368597,15.7
51,5,329.06214037262276,9.02
52,5,322.1277277359792,4.0
66,5,535.5303291262526,2.0
96,5,78.64791712951693,40.519999999999996
97,5,147.6460094414582,8.0
98,5,116.54840773611124,12.579999999999998
100,5,253.23153129381146,2.0
103,5,135.2450469571447,24.720000000000002
108,5,119.4001086423984,15.059999999999999
1,6,102.8091029974757,1949.1800000000005
2,6,85.1440883996448,3615.7400000000016
3,6,82.12986979696153,508.3999999999999
4,6,93.80562052284124,390.76
5,6,38.108051143596796,7472.300000000001
6,6,0.0,364341.7399999994
7,6,141.68004574772408,90.36
8,6,119.35479052418114,17.52
9,6,67.6286615754753,583.02
10,6,54.07677117135345,5466.699999999997
11,6,107.96529874302443,10.0
12,6,108.83882414107767,100.69999999999999
13,6,128.10361331628437,34.0
14,6,190.05390274155647,6.0
15,6,79.08199856582152,867.4999999999999
16,6,139.08960893559893,140.96
17,6,161.58039263395045,23.82
18,6,42.87736595994647,7970.8999999999905
19,6,113.56066603865735,37.6
20,6,168.73958966709603,21.240000000000002
22,6,240.6860989867149,8.0
23,6,197.75654907838046,16.0
24,6,240.90447418404662,2.0
26,6,298.60232924864664,12.0
27,6,307.4462875539441,6.62
28,6,254.10399428743466,18.0
29,6,258.31605925111,2.0
33,6,75.69381132125822,144.98
34,6,110.87618978485918,27.28
35,6,151.5110074914376,40.0
37,6,217.41773854830726,24.14
38,6,251.987396401651,4.0
39,6,269.3509275979583,2.0
40,6,282.5553471045625,6.0
45,6,124.5323787415041,14.280000000000001
46,6,168.1859247289962,22.08
47,6,198.54880050935606,16.76
48,6,237.66593467686477,19.56
49,6,236.9975777548282,0.0
50,6,217.6436774771583,2.0
51,6,292.96859208499654,18.0
52,6,288.471143160923,9.54
53,6,307.3645689253254,2.0
96,6,94.94877278579851,175.68
97,6,132.1078782552956,32.0
98,6,84.92829900153797,57.68
100,6,216.61912888382145,4.0
103,6,142.39041415992608,42.0
108,6,101.17012031351258,122.65999999999997
1,7,65.22848217310745,3943.899999999998
2,7,68.12478635895974,82.68
3,7,92.81504842166618,17.52
4,7,140.14771744352822,18.0
5,7,113.6209367763559,27.38
6,7,141.68004574772408,15.420000000000002
7,7,0.0,130917.88000000005
10,7,195.72978994214648,10.280000000000001
12,7,108.33027201398639,42.199999999999996
13,7,138.87561415257548,8.0
15,7,138.6210441623147,18.9
17,7,227.61293448995386,2.0
18,7,146.41912920846835,4.0
19,7,211.6338906073141,2.0
22,7,292.8746941687404,4.0
23,7,286.8864861446422,6.0
24,7,319.52322073884983,2.0
29,7,364.30330763107,4.0
33,7,199.61333694060028,4.0
35,7,278.25862455585735,26.0
36,7,305.82908798204954,26.0
37,7,343.4950153520218,10.0
45,7,263.87925947036035,4.0
46,7,307.83445013805056,0.0
68,7,649.5437861697766,2.0
96,7,57.54804796517153,203.24
97,7,156.52173833430695,2.0
98,7,180.12616700226687,10.0
103,7,84.16998274387204,4.0
108,7,147.08657861196303,4.0
1,8,136.28740730593066,34.160000000000004
3,8,189.09798298088708,19.84
4,8,61.500188135402404,247.5
5,8,107.72705764569085,17.62
6,8,119.35479052418114,25.98
7,8,200.96249875700076,2.0
8,8,0.0,179121.8999999991
9,8,53.589738575933964,2647.560000000001
10,8,119.93290717750828,220.62000000000003
11,8,157.14078365294887,14.32
12,8,220.15281206556628,16.0
13,8,244.43432310080095,2.0
14,8,309.1541567716915,2.0
15,8,197.9536349890513,45.06
16,8,258.30352431101295,4.0
17,8,277.7787537210345,2.0
18,8,161.91694705686385,19.299999999999997
19,8,223.9629828838782,10.0
20,8,268.7871350701835,22.96
23,8,303.580579405899,2.0
33,8,176.88746624913804,16.0
34,8,195.83090400090708,127.38000000000001
35,8,230.8502202256367,18.0
36,8,254.82131875223754,4.0
45,8,179.67386113720184,11.379999999999999
46,8,211.00568477308113,4.76
47,8,244.04850887676443,2.0
48,8,280.18313479699367,2.0
50,8,235.59980570933467,0.0
51,8,329.292761010356,4.0
60,8,535.4426626814977,0.0
98,8,200.39771002914927,2.0
108,8,220.08329222853618,10.1
1,9,117.22094983750083,146.94
2,9,138.21270894699728,16.1
3,9,143.94613122603081,8.0
4,9,59.97410302028512,1729.0199999999998
5,9,66.71346909745505,115.74
6,9,67.6286615754753,826.8399999999999
8,9,53.589738575933964,2786.02
9,9,0.0,237285.6799999996
10,9,69.48579823993975,6113.280000000002
11,9,115.26419393718983,26.16
12,9,173.51358659456943,16.04
13,9,195.18644910470738,196.51999999999998
14,9,257.5505735815922,38.0
15,9,146.7073251758499,51.72
16,9,205.59526830319683,18.0
17,9,224.20611839543545,8.0
18,9,109.34720116026999,72.46000000000001
19,9,170.5642328430132,4.0
20,9,217.1660881757209,6.0
22,9,302.99757922990216,4.0
23,9,251.0692331697025,6.0
24,9,296.01376058126414,2.0
33,9,124.07676186067236,2.0
34,9,146.2584960976303,8.0
35,9,183.52792909512317,4.0
36,9,209.1116496459216,0.0
37,9,244.27146681517561,6.0
38,9,288.4232741769766,4.0
39,9,295.7725891890277,2.0
45,9,137.4349389797968,4.0
46,9,174.47826967243793,2.0
47,9,207.72814219248704,2.0
48,9,245.88339183725154,0.0
49,9,216.91903373296353,6.0
50,9,209.71277140056918,4.0
52,9,282.38583944912676,4.0
53,9,290.77544225693316,2.0
97,9,199.72849584967335,6.0
98,9,146.8479927075907,8.0
108,9,168.78166163439252,52.63999999999999
1,10,152.918034767439,305.16
2,10,137.62878815775605,45.38
3,10,129.6863384981688,28.86
4,10,122.0299423224552,229.92
5,10,87.00811968778275,222.82
6,10,54.07677117135345,10055.2
7,10,195.72978994214648,4.02
8,10,119.93290717750828,608.1200000000001
9,10,69.48579823993975,11524.680000000008
10,10,0.0,804170.5399999996
11,10,55.43921660647563,3761.52
12,10,150.99442385342442,49.38000000000001
13,10,162.319329885325,36.22
14,10,212.4529806553654,16.58
15,10,110.417598720268,417.78
16,10,156.64471242859247,63.54
17,10,165.92460629336176,52.16
18,10,71.52204431532026,410.86000000000024
19,10,108.3352712497986,14.0
20,10,148.87773968205988,2.0
22,10,242.5909965567964,4.0
23,10,184.21804219866783,12.0
24,10,229.60085197035522,0.0
27,10,287.09533752000925,40.0
28,10,233.5463190337815,8.219999999999999
29,10,230.1010123495511,2.0
33,10,59.39378055873401,83.78
34,10,76.77314295961654,98.0
35,10,114.55889080231606,25.06
37,10,177.13060423017447,21.02
38,10,219.30073220043212,30.0
40,10,237.6501629408589,4.0
45,10,74.67500754492895,284.0999999999999
46,10,116.90236543273912,141.9
47,10,148.7182171941471,4.0
48,10,187.90249725485245,16.0
49,10,183.08049179462276,28.86
50,10,163.92392710657543,74.06
51,10,242.60048342298717,77.16
52,10,235.30616702568742,4.0
53,10,253.297788562106,22.0
54,10,315.6396918275838,4.0
58,10,398.1097597872459,6.78
96,10,147.92097541687622,31.740000000000002
97,10,160.7578935135568,30.0
98,10,92.20940908164701,25.36
99,10,271.92508912966167,2.0
100,10,167.5953349996662,4.0
103,10,190.29074011651173,4.0
108,10,129.82940693497062,76.28
1,11,208.34487686235522,25.020000000000003
2,11,187.6243935530123,2.0
3,11,175.15845760476472,12.0
4,11,173.07613140121973,8.0
6,11,107.96529874302443,29.78
7,11,249.09998002473927,2.0
8,11,157.14078365294887,4.0
9,11,115.26419393718983,33.74
10,11,55.43921660647563,1502.1399999999994
11,11,0.0,184250.4000000005
12,11,190.74082081710412,340.76000000000005
13,11,194.4591642640902,16.0
14,11,230.45061619028394,6.0
15,11,145.35083364504305,41.959999999999994
16,11,174.42048555368498,8.0
17,11,170.02497440918003,10.0
18,11,112.34498234349408,37.760000000000005
19,11,112.21007765985563,10.0
20,11,128.94806445676159,10.0
22,11,238.42436874075273,6.0
23,11,167.7052020012196,10.0
24,11,212.35662708496284,2.0
27,11,258.0011096128726,6.0
33,11,71.66851822498084,8.0
34,11,55.2183877622564,82.3
35,11,77.63588390283518,24.0
36,11,98.60660344043953,6.9
37,11,130.84348667717225,12.26
45,11,22.55493716419031,15773.959999999997
46,11,61.60872910743054,918.1199999999998
47,11,93.993794802652,49.18
48,11,133.0104643856878,59.96
49,11,134.5129546178793,260.3599999999999
50,11,110.21530434711147,306.46000000000004
51,11,187.35876405029282,8.0
52,11,180.5077732675047,2.0
53,11,201.338030970413,6.0
54,11,260.2010900559884,4.0
58,11,344.98431236314156,11.280000000000001
97,11,188.12048408581865,9.24
98,11,112.20249050833388,10.0
100,11,113.24249888387723,8.64
103,11,233.96363645840626,14.18
108,11,160.22735371121607,12.879999999999999
1,12,127.74157927736259,434.70000000000016
2,12,53.99732475356898,262.5799999999999
3,12,31.90012346143303,11993.979999999992
4,12,174.59236756521685,10.0
5,12,112.90465213066462,50.56
6,12,108.83882414107767,167.28
7,12,108.33027201398639,12.0
8,12,220.15281206556628,15.5
9,12,173.51358659456943,16.0
10,12,150.99442385342442,16.0
11,12,190.74082081710412,2.0
12,12,0.0,751639.9199999992
13,12,32.28967158329934,25332.280000000013
14,12,103.48905623521918,45.8
15,12,46.706966878967734,62395.61999999986
16,12,78.6877662353377,862.5799999999999
17,12,119.95925964609637,428.88
18,12,79.96741681003886,739.8600000000001
19,12,115.3264472205989,118.02
20,12,172.69895032957024,35.879999999999995
21,12,226.31776251837792,2.0
22,12,185.2772920552591,16.0
23,12,181.4683826531629,403.14000000000004
24,12,211.70518027698603,14.66
25,12,268.40541222981693,2.0
26,12,267.50303056229444,6.0
27,12,288.67820887574806,26.86
28,12,241.8989547198455,29.92
29,12,261.8161976022956,8.0
33,12,123.36349066901192,65.0
34,12,160.74928049818274,31.680000000000003
35,12,192.80810293926015,4.0
36,12,217.93749308526444,4.0
37,12,253.38268615181354,128.76
38,12,266.1235121994756,19.5
39,12,299.31632667095556,8.0
40,12,323.7645409369354,11.379999999999999
46,12,239.0623234451011,8.7
47,12,261.59782634032786,8.0
48,12,297.1037604861649,4.0
49,12,325.06646809516377,8.0
50,12,296.51367436942553,10.0
64,12,740.6208044581597,2.0
70,12,664.2613499588709,2.0
93,12,304.62349534382366,2.0
96,12,58.5184532892807,156.74
97,12,48.63099991199137,478.28000000000003
98,12,89.44009018796953,217.94000000000003
99,12,356.61819552299306,2.0
100,12,275.4340648715052,7.52
103,12,46.191810968037935,1198.6000000000008
108,12,43.006953072632804,11127.440000000006
1,13,159.70078940428274,335.34000000000003
2,13,86.00040689055956,51.02
3,13,61.7492025738133,348.08
4,13,202.7401126735336,20.0
5,13,139.123261755211,8.0
6,13,128.10361331628437,61.9
9,13,195.18644910470738,6.0
10,13,162.319329885325,40.38
11,13,194.4591642640902,2.0
12,13,32.28967158329934,16388.74
13,13,0.0,485789.95999999956
14,13,71.54355364705805,1382.48
15,13,51.93588705977591,9301.739999999998
16,13,51.52812303543149,952.3000000000001
17,13,93.52974368004567,316.78
18,13,91.53833079325292,291.0799999999999
19,13,102.65546120582113,85.1
20,13,154.24752360101084,16.0
22,13,154.00569612864447,18.0
23,13,157.41495295930193,381.5799999999999
24,13,183.93414466964515,4.0
26,13,238.46954517861448,9.14
27,13,261.4251892313317,42.199999999999996
28,13,216.753073568791,4.0
29,13,239.6181855450482,12.32
33,13,123.47488029687081,46.11999999999999
34,13,156.4504339748124,8.0
35,13,183.4310772487039,12.0
36,13,206.33977274980828,83.67999999999999
37,13,239.67311045039605,94.96
38,13,246.33178227845718,14.0
39,13,282.7245600007566,18.220000000000002
40,13,309.70149595750087,0.0
45,13,197.81599859367432,26.82
46,13,236.4811214184701,22.400000000000002
47,13,255.6686908924797,2.0
48,13,289.0386677560892,0.0
49,13,326.7671711135149,6.0
50,13,295.08646654596333,4.0
93,13,274.02446044128646,6.0
96,13,90.80673315481701,28.0
97,13,18.396581178273188,10743.139999999996
98,13,84.36044299390039,165.56
100,13,267.7446500954031,2.0
103,13,65.21748654860674,56.0
108,13,34.25311790872873,24023.779999999984
1,14,231.18738896626104,80.94000000000001
2,14,157.44693045516138,4.0
3,14,133.13054550855094,2.0
4,14,271.9800776247409,12.52
5,14,207.34080921804946,2.0
6,14,190.05390274155647,11.540000000000001
9,14,257.5505735815922,28.0
10,14,212.4529806553654,12.860000000000001
11,14,230.45061619028394,8.0
12,14,103.48905623521918,16.0
13,14,71.54355364705805,2008.68
14,14,0.0,168501.99999999994
15,14,111.20914394811952,107.54
16,14,56.4589842477099,91.08000000000001
17,14,73.14725100481773,418.0
18,14,148.56258183833665,21.240000000000002
19,14,119.95540748135075,4.0
20,14,146.18280829363715,2.0
22,14,94.97064152690413,8.0
23,14,131.18487368052436,22.0
24,14,140.62743780034134,17.36
26,14,187.03580141354806,62.0
27,14,216.14931295547575,2.0
28,14,181.13633170365856,4.0
29,14,212.3200973424351,10.0
31,14,280.7508436366638,2.0
33,14,160.51174964548537,2.0
36,14,210.190180729067,6.46
37,14,235.94410616681802,220.98000000000005
38,14,225.85048454384398,27.42
39,14,269.26560569263984,12.86
93,14,214.8674954468543,2.0
96,14,161.67758424157685,2.0
97,14,59.739559080704076,2465.32
98,14,121.22722060346523,24.34
100,14,276.7032312422497,6.0
108,14,89.08997882269452,90.93999999999997
1,15,136.68387742019058,6312.379999999998
2,15,71.644654545886,2552.1399999999994
3,15,45.82717004535608,25307.740000000034
4,15,163.13256843750392,226.46000000000004
5,15,98.11004913266912,562.6800000000001
6,15,79.08199856582152,4537.679999999997
7,15,138.6210441623147,100.88
8,15,197.9536349890513,30.739999999999995
9,15,146.7073251758499,257.94
10,15,110.417598720268,1978.4200000000003
11,15,145.35083364504305,100.56
12,15,46.706966878967734,108881.20000000029
13,15,51.93588705977591,46338.90000000004
14,15,111.20914394811952,1127.08
15,15,0.0,3068462.099999986
16,15,63.86478455907791,61447.460000000065
17,15,96.47435207651347,15402.360000000006
18,15,39.77936526566435,88972.84000000011
19,15,73.49527735782283,26889.88000000001
20,15,133.94045407566549,781.5599999999998
21,15,224.21098971364268,137.2
22,15,172.32435182948188,114.0
23,15,149.797847194255,1123.4
24,15,186.30425116705015,204.72000000000003
25,15,254.56597795386378,14.6
26,15,244.13553023412192,119.88000000000001
27,15,260.61627823351813,254.63999999999996
28,15,210.52353118574948,265.8399999999999
29,15,225.70228903443805,36.04
30,15,324.5993402065849,20.0
31,15,342.32134481907076,4.0
32,15,363.27371502684673,7.720000000000001
33,15,76.74230172880084,7357.259999999997
34,15,114.15432535373851,1601.3999999999992
35,15,147.32837958785888,522.7800000000001
36,15,173.24684692208564,422.0999999999999
37,15,209.58851849344828,509.76
38,15,227.14148059788465,71.6
39,15,257.1779535132054,72.34
40,15,279.8225687391984,48.14
41,15,343.158441335613,25.54
42,15,387.5500185343369,17.22
45,15,151.30144512922507,65.96000000000001
46,15,192.37808226242808,50.639999999999986
47,15,215.03071303345862,37.92
48,15,250.86321169607893,151.60000000000002
49,15,279.2267513505477,31.479999999999997
50,15,249.9703168027134,129.32
51,15,305.187992690155,34.18
52,15,313.48874542694807,14.0
54,15,380.6960539358446,6.0
58,15,481.44886678914014,174.51999999999998
63,15,665.8376351661196,62.260000000000005
68,15,522.930202685266,11.56
71,15,679.2864472115192,13.38
72,15,799.1270107774958,73.56
75,15,946.3054733224841,27.32
79,15,950.3813280956728,29.84
80,15,986.5836516279599,6.08
82,15,921.4155005369641,89.94
83,15,956.1034708971295,50.86
87,15,1003.3708486736194,38.300000000000004
89,15,1054.8358067436893,7.96
90,15,537.9578451557385,34.2
92,15,675.4931173727759,18.0
93,15,285.9291764059801,37.480000000000004
96,15,81.38122583732442,1013.26
97,15,53.12976769871838,28131.68
98,15,44.02997438610203,57848.22
99,15,313.1806763186647,33.18000000000001
100,15,229.14650102180522,53.32
103,15,92.46285898949823,2201.120000000001
108,15,22.13180410775413,235228.0999999993
1,16,197.49231760333132,119.38
2,16,126.64536167544415,47.16
3,16,99.57259551325201,180.45999999999998
4,16,226.76993709637225,6.0
5,16,161.81362553319818,16.0
6,16,139.08960893559893,38.04
7,16,186.8970425399378,2.0
8,16,258.30352431101295,14.74
9,16,205.59526830319683,19.46
10,16,156.64471242859247,21.16
11,16,174.42048555368498,12.96
12,16,78.6877662353377,744.8600000000001
13,16,51.52812303543149,764.5600000000002
14,16,56.4589842477099,85.86000000000001
15,16,63.86478455907791,19591.920000000006
16,16,0.0,1072919.9800000011
17,16,42.02108378492822,25056.94000000001
18,16,96.38719461186469,405.53999999999985
19,16,66.12618817534685,8694.82
20,16,106.63578554951991,147.22
21,16,160.44645093572618,2.0
22,16,109.81755867837848,28.0
23,16,106.09000254392458,245.06000000000006
24,16,133.15400350813695,54.83999999999999
25,16,192.85193493299818,0.0
26,16,188.8437823152671,12.0
27,16,210.39843390215887,22.259999999999998
28,16,165.22495059672755,59.48
29,16,188.70540777671658,12.0
30,16,265.1969479061978,46.58
31,16,287.00060062897234,2.0
33,16,104.08178929166664,109.44
34,16,126.8042458796147,61.9
35,16,145.23509008931902,26.939999999999998
36,16,164.69539372734175,33.74
37,16,195.1025689980451,116.32
38,16,196.63630109517948,18.0
39,16,235.11254577534095,121.60000000000002
40,16,264.07448248157414,6.0
45,16,172.13163922344364,0.0
46,16,205.48547059731897,22.799999999999997
47,16,219.74693119690866,4.0
48,16,249.91897131670467,6.780000000000001
49,16,299.71112503289464,18.7
50,16,264.2663217895159,18.82
51,16,300.17203533098063,2.0
52,16,318.4202060255381,2.0
93,16,226.98241310270953,12.0
96,16,134.0176638189315,36.72
97,16,33.36694211367841,8729.579999999994
98,16,64.88285045036297,801.88
99,16,294.78765878031675,11.6
100,16,229.41054413868636,4.0
103,16,116.74554946940764,22.0
108,16,44.2924298611364,6296.739999999999
1,17,233.12106204179108,88.85999999999997
2,17,165.0125474549326,18.0
3,17,137.82071272169645,54.56
4,17,253.79793700665533,9.36
5,17,190.0929198379544,10.0
6,17,161.58039263395045,62.02000000000001
8,17,277.7787537210345,4.0
9,17,224.20611839543545,2.0
10,17,165.92460629336176,25.36
11,17,170.02497440918003,8.0
12,17,119.95925964609637,180.50000000000006
13,17,93.52974368004567,190.63999999999993
14,17,73.14725100481773,184.33999999999997
15,17,96.47435207651347,2133.08
16,17,42.02108378492822,27982.019999999982
17,17,0.0,1251346.08
18,17,119.46614026580008,223.68
19,17,58.93625497664649,8554.380000000003
20,17,73.13018632319586,12878.440000000008
21,17,139.67970821883227,6.0
22,17,79.12552252981178,1441.1200000000001
23,17,64.83804778219145,3531.180000000001
24,17,91.91173881021096,241.78
25,17,159.08851721704505,14.0
26,17,148.71362677734496,366.67999999999995
27,17,168.72213336023154,157.02000000000007
28,17,123.25137113875516,189.8
29,17,147.92935342623025,31.72
30,17,228.12508486922258,6.0
31,17,247.0710742547967,2.0
32,17,269.09023459550997,4.0
33,17,107.33232044240354,447.37999999999977
34,17,116.44179353904752,161.29999999999998
35,17,123.16199983772407,88.05999999999999
36,17,137.2461377716257,58.78
37,17,163.0272175489365,419.9
38,17,157.66585246056417,145.16
39,17,198.63827231931955,22.060000000000002
40,17,229.76184797316049,8.78
41,17,290.62481145943536,4.0
42,17,332.5616048844728,4.0
45,17,162.36817778228232,31.58
46,17,188.66760991815678,17.259999999999998
47,17,197.19664092219693,14.0
48,17,223.18355675040186,19.84
49,17,284.35950127911474,11.059999999999999
50,17,245.94325397147378,4.0
51,17,270.2665058858946,4.0
52,17,293.4068458889942,6.0
58,17,457.47469346004374,6.24
93,17,189.46250972576627,8.0
96,17,173.2372293109636,27.240000000000002
97,17,75.271879182541,231.64
98,17,77.41982071758599,326.43999999999994
99,17,258.9615809770538,0.0
100,17,203.95831055447852,15.879999999999999
103,17,158.7420772286979,29.46
108,17,81.4476889686687,556.0999999999999
1,18,125.81580462801239,192.66
2,18,79.58581151788702,697.0199999999998
3,18,63.124396527876755,2532.7
4,18,134.413597993712,24.68
5,18,71.81665105035486,112.53999999999999
6,18,42.87736595994647,7951.659999999991
7,18,146.41912920846835,6.0
8,18,161.91694705686385,6.48
9,18,109.34720116026999,61.22
10,18,71.52204431532026,364.15999999999997
11,18,112.34498234349408,2.0
12,18,79.96741681003886,403.69999999999993
13,18,91.53833079325292,182.10000000000002
14,18,148.56258183833665,24.0
15,18,39.77936526566435,19897.799999999963
16,18,96.38719461186469,546.9200000000001
17,18,119.46614026580008,366.65999999999997
18,18,0.0,429527.7599999993
19,18,76.30885074861789,650.1
20,18,135.72964946282212,46.0
21,18,255.28770827988302,4.0
23,18,160.5706026247387,26.92
24,18,202.0631841365043,105.89999999999999
26,18,260.1620831835846,73.28
27,18,271.6896387320558,5.96
